channel_name,subscriber_count,view_count,video_count
"Die Antwoord ",3360000,1191366153,117
"Openmic Productions ",2930000,1306637423,670
"The Supa Strikas - Kids Soccer Cartoon ",2570000,1212303993,1318
"Boomerang Africa ",2050000,834756471,676
"Cartoon Network Africa ",2110000,1357774672,2331
"SABC News ",2450000,1279828642,222431
"Pastor Alph Lukau ",1630000,415916080,6033
"DJ Arch Jnr ",1220000,195518609,330
"The Kiffness ",2640000,586723896,221
"michael jamison ",1140000,523029270,1836
"OMFilms ",1420000,308613346,356
"Nasty_C ",1270000,261773155,199
"Spirittunez ",1070000,449114562,664
"MzansiMagicOfficial ",1190000,601844632,9364
"DLM Men's Lifestyle ",1010000,50100731,439
"Steegs Vlogs ",814000,294903492,340
"Zee World Africa ",965000,222465273,3755
"MDM Sketch Comedy ",990000,332033649,395
"Zee TV Africa ",916000,590598266,2219
"Dan Mace ",854000,45452874,123
"MacG ",1340000,276577335,1944
"Lasizwe Dambuza ",897000,106612319,245
"Ambitiouz Entertainment ",895000,500387117,552
"Mziiki ",889000,130396223,259
"Caitlin De Ville ",739000,267558826,139
"MajorLeagueDjz ",914000,218387604,294
"Zeus Studios ",711000,76100288,93
"Prophet Shepherd Bushiri ",728000,71200280,1499
"Cricket South Africa ",656000,88776955,2081
"Make Afrika Great ",682000,14253764,1113
"LEON GUMEDE ",605000,134642506,400
"Lloyiso ",681000,125232401,77
"Evangelist Gabriel Fernandes ",542000,115706475,2556
"Zee Magic ",660000,76870675,927
"90 Second IQ Boosters ",478000,24024916,84
"Ramscomics ",628000,160094132,77
"WildEarth ",648000,297557819,10472
"you belong ",461000,11135568,1738
"MaroGamingStudio8k ",431000,55378,7
"MalaMala Game Reserve ",1000000,432782574,755
"Dj Maphorisa ",632000,207738809,109
"Jono Dry ",502000,43806774,232
"Mihlali N ",451000,35800672,208
"TechNick ",462000,136054484,627
"Mr. Bow ",501000,150468067,249
"IdolsSA ",414000,159746000,1500
"SABC Education Shows ",376000,9793216,2782
"Sasenathi Studios ",753000,174962667,202
"1 Magic ",420000,226217781,2627
"AfricaOnNetflix ",467000,80423860,1117
"BOLO HOUSE MUSIC ",400000,178779933,4449
"Muslim Central ",758000,175278804,2656
"Kruger Park Sightings ",495000,221346485,1273
"Skits By Sphe ",395000,64822858,303
"Reinhardt Buhr ",506000,52787096,170
"Cassper Nyovest ",415000,98271127,28
"Gemini Blessed TV ",365000,44351858,231
"Sean Kitching ",349000,19724076,284
"In Depth Cine ",410000,21483159,206
"Cars.co.za ",388000,133319250,963
"Anton Koen ",374000,178277971,497
"William Last KRM ",2090000,739441807,413
"SamupertyZuluTV ",318000,6977133,154
"United Oromia ",362000,39882169,1590
"Mafikizolo ",362000,117247935,4
"RockSteady Creatives ",284000,7658,7
"We Love Africa ",587000,90080199,484
"Makhadzi ",534000,191899553,140
"Jack Bohloko ",330000,133489159,614
"Prince Kaybee ",310000,148979850,32
"Showmax ",529000,137466613,2927
"Mr JazziQ ",358000,75094411,66
"beautarie ",289000,22621821,329
"Johan Swanepoel ",301000,62830698,64
"Mpoomy Ledwaba ",310000,30764616,396
"Cream Puff ",246000,33858895,109
"Wild Africa Adventure Films ",266000,88545661,157
"Built IRL ",266000,19439361,10
"Kay Yarms ",308000,29513292,220
"Inkabi Records ",512000,174114268,118
"Xhosanostra TV ",270000,10298095,25
"Mzansi Fresh Dancers ",546000,128824318,363
"Game Drive Channel ",243000,67890116,433
"MUTHALAND TV ",254000,129754013,468
"DStv ",379000,81759302,3940
"Lesiba Mothupi ",275000,19132418,566
"Tio Yado Humorista Arte Tv ",296000,69353441,666
"Koko Records ",305000,134202743,154
"Woodshop Junkies ",259000,19210162,128
"Sho Madjozi ",240000,38044089,49
"Elaine ",257000,60294901,37
"Tekweni ",230000,132806751,517
"Detormentis ",286000,108222855,330
"Mindset ",270000,42771960,6825
"BET International ",388000,87880873,3857
